wavs/v (1).wav|来たか 戦闘準備ならいつでもできているぞ
wavs/v (384).wav|ガッ!
wavs/v (385).wav|油断せずに行こう
wavs/v (386).wav|まだまだ
wavs/v (387).wav|いい攻撃だ 賞賛を贈ろう
wavs/v (388).wav|一旦下がるんだ!
wavs/v (389).wav|ここは任せておけ
wavs/v (390).wav|大丈夫か?
wavs/v (391).wav|しっかりするんだ
wavs/v (392).wav|よく周りを見るんだ
wavs/v (394).wav|畳みかけるぞ!
wavs/v (395).wav|攻撃の手を緩めるな!
wavs/v (396).wav|好きなど与えん
wavs/v (397).wav|上空から攻めるぞ!
wavs/v (398).wav|この攻撃、かわせるか!
wavs/v (399).wav|真の強さを見せてやろう!
wavs/v (400).wav|いつでも使用可能だ
wavs/v (401).wav|これで敵を追い詰めるぞ!
wavs/v (402).wav|スカイドコロを見極めろ!
wavs/v (403).wav|さあ、無双の時間だ!
wavs/v (404).wav|不可能を可能にしてみせよう!
wavs/v (405).wav|全団発射準備用意
wavs/v (406).wav|全力を見せてやろう!
wavs/v (407).wav|受けるがいい!
wavs/v (408).wav|これで終わりだ!
wavs/v (409).wav|この力、使いこなしてほしい
wavs/v (410).wav|準備は整ったぞ
wavs/v (411).wav|正気!
wavs/v (413).wav|遅いな!
wavs/v (414).wav|いいものだな
wavs/v (415).wav|いただいておこう
wavs/v (416).wav|役に立ちそうだな
wavs/v (417).wav|助かる
wavs/v (418).wav|これならまだ戦うことができる
wavs/v (420).wav|言ったか?
wavs/v (422).wav|次の手を考えよう
wavs/v (423).wav|力が湧いてくるな
wavs/v (424).wav|これならいける!
wavs/v (425).wav|さあ、戦闘続行だ!
wavs/v (426).wav|相手の方が上手だったか
wavs/v (427).wav|油断したつもりはないのだがな
wavs/v (428).wav|力が抜ける
wavs/v (429).wav|撃破した
wavs/v (430).wav|敵は沈黙したぞ
wavs/v (431).wav|次の敵はどこだ?
wavs/v (432).wav|やるな!
wavs/v (433).wav|負けてはいられないな!
wavs/v (434).wav|いい攻撃だった
wavs/v (435).wav|私の力が足りなかったのだな
wavs/v (436).wav|悔いなく動けたと思っている
wavs/v (437).wav|あとは任せたぞ
wavs/v (438).wav|これで憂いなく戦えるだろう
wavs/v (439).wav|私が行こう
wavs/v (440).wav|任せておけ
wavs/v (441).wav|もう少しペースを上げた方が良さそうだ
wavs/v (443).wav|作戦は順調に進んでいるようだな
wavs/v (445).wav|応援だ!
wavs/v (446).wav|新たな敵が来たようだな
wavs/v (447).wav|上空に気をつけろ!
wavs/v (448).wav|注意しろ、あいつが機関だ!
wavs/v (450).wav|これで今後の戦いが有利になるな
wavs/v (451).wav|強くなったようだな
wavs/v (452).wav|この結果に満足してはいけないな
wavs/v (453).wav|共に勝利を喜ぼう
wavs/v (454).wav|この経験を次に活かそう
wavs/v (455).wav|これでまた、戦いのない世界に近づいたな
wavs/v (456).wav|さあ、次の戦いへおもむこう
wavs/v (459).wav|誰と対戦をするんだ
wavs/v (460).wav|本当にその選択でいいのか?
wavs/v (461).wav|いい選択だな
wavs/v (462).wav|相手が隠したでも得られるものはある
wavs/v (463).wav|勝利することができたのは、みんなのおかげだな。
wavs/v (464).wav|ふふ、また勲章が増えてしまうな
wavs/v (465).wav|新たに追加された物語があるようだ
wavs/v (466).wav|さあ、見たいものを選ぶんだ
wavs/v (467).wav|どのような写真を撮るのだ?
wavs/v (468).wav|私か?いいだろう
wavs/v (469).wav|こういうのは、慣れていないのだが…
wavs/v (470).wav|素直に嬉しく思うぞ
wavs/v (471).wav|ああ、頑張ろう!
wavs/v (472).wav|照れてしまうな
wavs/v (474).wav|わ、私か?
wavs/v (475).wav|堂々としていればいいのか
wavs/v (476).wav|どうすればいい 指示を頼む
wavs/v (477).wav|こんな感じでいいのか?
wavs/v (478).wav|こうか?
wavs/v (479).wav|これで問題ないか?
wavs/v (480).wav|機械を逃してしまうぞ
wavs/v (481).wav|時間は有限だ
wavs/v (482).wav|何かあったのか?
wavs/v (483).wav|目当ての場所まではまだかかるのか?
wavs/v (484).wav|ただの散歩というのも悪くない
wavs/v (486).wav|どんな写真になったのか楽しみだ
wavs/v (487).wav|後で見せてくれるのだろう?
wavs/v (488).wav|貴重な体験ができた
wavs/v (489).wav|こっちでいいのか?
wavs/v (490).wav|ああ、わかった
wavs/v (491).wav|こっちだな
wavs/v (492).wav|誰を確認するんだ?
wavs/v (493).wav|私の装備確認に付き合ってくれるのか
wavs/v (494).wav|私の持っている訓証でも見に来たのか?
wavs/v (495).wav|ヨークタウン型2番艦エンタープライズ着任した。敵には全身全霊を持って相対する。それが私の竜技だ。
wavs/v (496).wav|どれにするんだ?
wavs/v (497).wav|慎重に選んだ方がいい
wavs/v (498).wav|適当なものがあればいいのだが
wavs/v (500).wav|私に合っているだろうか
wavs/v (501).wav|違和感ないな
wavs/v (502).wav|強くなることができたな
wavs/v (503).wav|もっとうまく体を動かせそうだ
wavs/v (505).wav|資料の確認にやってきたのか
wavs/v (506).wav|積み重ねてきた結果が現れているな
wavs/v (507).wav|これは胸を張っていい記録だぞ
wavs/v (508).wav|設定を変えるのか
wavs/v (509).wav|いつか、戦いのない世界を見てみたい
wavs/v (510).wav|力が湧いてくるな
wavs/v (511).wav|指揮官、作戦時間は残り5分だ
wavs/v (512).wav|それは味方だ
wavs/v (513).wav|指揮官よ、そのままでは戦闘回帰を離脱してしまうぞ。進路変更を。
wavs/v (515).wav|戦隊に亀裂が、深水を食い止めろ!
wavs/v (516).wav|火災発生、ダメージコントロール!
wavs/v (517).wav|前方から魚雷接近、回避する
wavs/v (518).wav|前方から魚雷が来ている
wavs/v (519).wav|後方から魚雷接近、回避する
wavs/v (520).wav|後方から魚雷が来ている
wavs/v (521).wav|左弦から魚雷接近、回避運動!
wavs/v (522).wav|左弦から魚雷が来てるぞ!
wavs/v (523).wav|右弦から魚雷接近 回避運動
wavs/v (524).wav|右弦から魚雷が来てるぞ!
wavs/v (525).wav|指定座標を通過した
wavs/v (526).wav|目標座標に到着したぞ
wavs/v (527).wav|主導高校に切り替える
wavs/v (528).wav|自動高校に切り替える
wavs/v (529).wav|要塞を落とすぞ
wavs/v (530).wav|要塞に火力を集中する
wavs/v (531).wav|戦闘機が落とされた
wavs/v (532).wav|戦闘機、発艦させる!
wavs/v (533).wav|対空監視、警戒体制を解除する
wavs/v (534).wav|対空戦闘用意 見張りを怠るな
wavs/v (535).wav|エンジンブーストを解除する
wavs/v (536).wav|エンジンブースト始動!突き進め!
wavs/v (537).wav|対応完了だ。戦線に復帰する
wavs/v (538).wav|スモークを展開する
wavs/v (539).wav|スモーク展開完了だ
wavs/v (540).wav|観測器が撃墜された
wavs/v (541).wav|観測器、発艦させる!
wavs/v (542).wav|全力を尽くして負けたのだ。 悔いはないさ。
wavs/v (543).wav|しまった、足を止められたか
wavs/v (544).wav|手法刀が損傷!
wavs/v (545).wav|手法とが、この程度の傷
wavs/v (546).wav|魚雷発射艦が大破した?
wavs/v (547).wav|火事に被弾した!
wavs/v (548).wav|何をしている?それは味方の空母だ
wavs/v (549).wav|何をしている?それは味方の戦艦だ!
wavs/v (550).wav|何をしている?それは味方の循用感だ
wavs/v (551).wav|何をしている?それは味方の駆逐艦だ
wavs/v (552).wav|敵空母撃沈
wavs/v (553).wav|敵戦艦を撃沈
wavs/v (554).wav|敵巡洋艦を撃沈
wavs/v (556).wav|敵空母を発見
wavs/v (557).wav|敵艦を発見した
wavs/v (558).wav|敵戦艦を発見
wavs/v (559).wav|敵巡洋艦を発見
wavs/v (560).wav|敵駆逐艦を発見
wavs/v (561).wav|私たちが優勢だ。このまま全力で押すぞ!
wavs/v (562).wav|私たちの勝利が目前だ。だが、手を抜くつもりはない!
wavs/v (563).wav|戦況は不利、戦いはここからだ
wavs/v (564).wav|圧倒的に不利な選挙。だが、私は負けるわけにはいかない。
wavs/v (565).wav|二石同時に撃沈だ!運も実力の内、ということか?
wavs/v (566).wav|終わりだ!
wavs/v (567).wav|狙い撃つ
wavs/v (568).wav|沈め!
wavs/v (569).wav|駆逐する!
wavs/v (570).wav|私たちが発戦かだ。このまま突き進むぞ!
wavs/v (571).wav|犯した罪に対しては、等しく罰が与えられる。遊軍を攻撃した私たちには、ペナルティが課された。
wavs/v (572).wav|命中だ
wavs/v (573).wav|装甲貫通した
wavs/v (574).wav|命中、砲撃戦でも遅れは取らない
wavs/v (575).wav|残ったのは私たちだけか。 悔いを残さないよう、最後まで全力を尽くそう!
wavs/v (576).wav|私たちが最後の一石だが、最後まで諦めるつもりはない!
wavs/v (578).wav|ヨークタウン型2番艦エンタープライズ着任した。よろしく頼む、指揮官。
wavs/v (579).wav|指揮官、あなたがいれば、この身にある力を最大限に発揮できると信じている。一緒にこの戦いを終わらせよう。
wavs/v (580).wav|敵には同情も手加減もせず、いつでも全力で迎え撃つ。これこそ私の竜技だ。行こう、指揮官。
wavs/v (581).wav|グレイゴーストの異名は、伊達じゃないということを見せてやろう
wavs/v (582).wav|発刊完了
wavs/v (583).wav|待機中、指揮官の指示を待つ
wavs/v (584).wav|撃墜された
wavs/v (585).wav|目標に接近中だ
wavs/v (587).wav|第2中隊
wavs/v (588).wav|第3中隊
wavs/v (590).wav|第五中隊
wavs/v (591).wav|第六中隊
wavs/v (592).wav|第7中隊
wavs/v (593).wav|第8中隊
wavs/v (594).wav|第九中隊
wavs/v (596).wav|発艦準備完了だ
wavs/v (598).wav|敵から攻撃を受けている
wavs/v (599).wav|指定の目標に攻撃を集中するんだ
wavs/v (600).wav|支援砲撃を頼む、突破するぞ!
wavs/v (601).wav|陣地の防衛を頼む
wavs/v (602).wav|陣地を防衛してくれ
wavs/v (603).wav|陸上施設を防衛してくれ
wavs/v (604).wav|味方の航空機部隊を援護してくれ
wavs/v (605).wav|あの味方艦が危険だ。 援護を頼む!
wavs/v (606).wav|あの味方官を支援してくれ
wavs/v (607).wav|わかった
wavs/v (608).wav|了解した
wavs/v (609).wav|今すぐそこから離脱するんだ!
wavs/v (610).wav|そのままでは危険だ。戻れ!
wavs/v (611).wav|戻るんだ 一旦体勢を立て直そう
wavs/v (612).wav|争いのない日は果たして来るのだろうか
wavs/v (614).wav|警戒レーダーを使用する
wavs/v (615).wav|敵陣地に急行してくれ
wavs/v (616).wav|指定の陣地に向かってくれ
wavs/v (617).wav|指定の陸上施設に火力を集中するぞ
wavs/v (618).wav|敵の関西機が接近中だ。 迎撃してくれ!
wavs/v (619).wav|全艦へ、指定目標に攻撃を集中せよ!
wavs/v (620).wav|全艦へ、援護射撃を頼む
wavs/v (621).wav|見事な戦いだった。さすがだな。
wavs/v (622).wav|戦いの次にまた戦い…か
wavs/v (623).wav|見事な戦いだった。さすがだな。
wavs/v (624).wav|みんなの実力、見せてもらおう!
wavs/v (625).wav|ユニオンの戦士たち、君たちの噴線に期待する
wavs/v (626).wav|指定エリアに進路を変更してくれ
wavs/v (627).wav|対空支援を頼む
wavs/v (628).wav|偵察情報を頼む
wavs/v (629).wav|スモークを展開してくれ
wavs/v (630).wav|援護射撃を頼む
wavs/v (631).wav|支援砲撃を頼む
wavs/v (632).wav|ヨークタウン姉さん、援護を頼む!
wavs/v (634).wav|断る
wavs/v (635).wav|ダメだ
wavs/v (636).wav|しまった、援護を頼む
wavs/v (637).wav|すまない、少し手を貸してくれ
wavs/v (638).wav|指定のエリアに急行してくれ
wavs/v (639).wav|感謝する
wavs/v (640).wav|すまない、助かった
wavs/v (641).wav|感謝する
wavs/v (642).wav|そうか、私は負けたのか。不思議と悔いはない。
wavs/v (643).wav|魚雷命中
wavs/v (644).wav|命中!ふん、雷撃はまだなれないな。
wavs/v (645).wav|勝利か……。 指揮官、教えてくれ。私はあと、何席沈めればいい。
wavs/v (646).wav|私はヨークタウン型航空母艦のエンタープライズグレイゴーストは私が持つ数多くの 異名の中の一つだこの昇遠と占結の戦略こそ 我が使命の証これからも戦いの果てまで 勝ち続けてみせる
wavs/v (647).wav|ヨークタウン型2番艦エンタープライズ着任した敵には同情も手加減もせずいつでも全力で迎え撃つつもりだこれこそ私の竜技だ
